deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
LIM0004-0081-A__20250220__Recuerdo_agradable__jRmk.wav,1.2997638,3.132509,1.9976692,2.0763624,2.42092,NISQAv2
LIM0004_0058_A__20250125__Rutina__cXjm.wav,1.8532335,3.5626702,2.0608728,2.0830598,2.654474,NISQAv2
LIM0007_0077_A__20250313__Re-narración_de_video__QBiA.wav,1.7981969,2.9427679,2.0883157,2.318067,3.0647323,NISQAv2
LIM0006_0089_P__20250313__Recuerdo_agradable__8XG5.wav,2.075061,3.8142056,2.2484648,2.6194863,3.4559152,NISQAv2
LIM0008_0109_A__20250405__Rutina__hBCF.wav,1.7479235,3.4252644,2.0914273,2.2868223,2.8927581,NISQAv2
PRUEBA_Audifono_2__20250512__Recuerdo_agradable__MSe4.wav,2.0637789,3.635297,2.7746456,2.5206082,3.480159,NISQAv2
TUM0003_0194P__20250401__Rutina__Qcvv.wav,0.94591266,2.653775,1.669296,2.0218804,2.288366,NISQAv2
TUM0009_0324_A__20250612__Recuerdo_agradable__Wh8A.wav,2.2543964,3.6376183,2.6325867,2.7601938,2.7659447,NISQAv2
LIM0005_0013A__20241111__Recuerdo_agradable__Be2v.wav,2.1072304,3.571277,2.3684597,2.445244,3.1618226,NISQAv2
TUM0003_0167_P__20250325__Recuerdo_agradable__DIWX.wav,2.2029474,2.7489436,3.951744,2.6389196,2.3068705,NISQAv2
LIM0007_0005_A__20241016__Re-narración_de_video__vuX0.wav,2.0009043,3.373381,2.1658266,2.5158622,2.5537913,NISQAv2
00009_0011__20241204__Rutina__eD63.wav,1.1623292,2.3960788,1.8535223,1.96973,1.6470418,NISQAv2
TUM0002_0230A__20250429__Lámina_1__XDcr.wav,1.490507,3.119676,1.8804462,2.162118,2.5404034,NISQAv2
TUM0007__0191A__20250422__Recuerdo_agradable__6WJ5.wav,1.3638121,2.6570964,1.7831266,2.2878215,2.8736007,NISQAv2
TUM0009_0288_A__20250526__Rutina__pqKG.wav,1.896318,2.9669745,2.5437586,2.351653,3.4369557,NISQAv2
LIM0008_0115_P__20250404__Recuerdo_agradable__yZbQ.wav,2.1282866,3.377006,2.232155,2.388736,2.7657886,NISQAv2
LIM0004_0050_P__20241218__Recuerdo_agradable__yVJc.wav,1.677329,3.1982396,1.8995116,2.3370225,2.760473,NISQAv2
LIM0002_0187_A__20250606__Recuerdo_agradable__drSA.wav,1.336621,2.5621843,1.6449447,2.046429,3.0068967,NISQAv2
LIM0005_0035_P__20241106__Re-narración_de_video__lqKl.wav,1.8905668,3.5894039,2.0253253,2.529187,3.2891994,NISQAv2
IQT0011_0131_A__20250405__Recuerdo_agradable__wsyc.wav,2.1264353,3.3703148,2.291929,2.462395,3.3272893,NISQAv2
TUM0004_0258P__20250428__Lámina_1__rc6E.wav,2.6149504,3.8117452,3.8375332,2.6367939,2.842423,NISQAv2
IQT0007_0244_P__20250612__Recuerdo_agradable__cQ3w.wav,1.4285843,3.668657,2.0552683,1.9188695,2.4994204,NISQAv2
LIM0003_0035_P__20241030__Recuerdo_agradable__e18Q.wav,1.1692506,3.232783,1.8229799,2.0763853,2.2296877,NISQAv2
LIM0004_0096_P__20250226__Lámina_1__8JaV.wav,2.4399343,3.6529648,3.9569504,3.0029428,3.6739151,NISQAv2
LIM0002_0111_P__20250324__Re-narración_de_video__VGQ5.wav,1.6404895,3.5237558,2.0260506,1.9809828,2.7466853,NISQAv2
LIM0007_0049_A__20250116__Recuerdo_agradable__0Brg.wav,2.5415993,3.8531685,4.119379,3.1563673,2.1681635,NISQAv2
LIM0004_0055_P__20250126__Lámina_1__PtQ6.wav,2.4557383,3.746785,3.0080254,2.43072,3.436286,NISQAv2
LIM0005_0116_A__20250404__Recuerdo_agradable__aRKx.wav,1.5868201,3.3794706,2.186269,2.373613,3.0355303,NISQAv2
LIM0002_0113_A__20250425__Re-narración_de_video__OEvy.wav,1.7925228,3.3703063,2.133757,2.5084748,3.2438693,NISQAv2
LIM0005_0116_P__20250404__Re-narración_de_video__RGtf.wav,1.3899359,3.4988706,1.8044379,2.0621636,2.6558414,NISQAv2
HUA0004_0195P__20250421__Rutina__NZR6.wav,1.5287145,3.4745038,1.7143171,2.0407465,2.9823344,NISQAv2
LIM0002_0194_A__20250603__Rutina__scmB.wav,1.7259592,3.3061452,2.282923,2.4034178,3.2225378,NISQAv2
IQT0009_0159_A__20250610__Rutina__ZEic.wav,1.0301992,2.4006956,1.7784934,1.9054515,2.3059795,NISQAv2
PRUEBALim005_0001_P__20250227__Recuerdo_agradable__7a9z.wav,2.3584037,3.608742,2.7373538,3.1762822,3.1733515,NISQAv2
LIM0008_0097_P__20250402__Recuerdo_agradable__t3Fg.wav,0.92430615,3.2903707,1.8873866,1.7263703,2.492846,NISQAv2
LIM0005_0139_P__20250506__Recuerdo_agradable__RiXt.wav,1.3972312,2.6906533,2.209481,2.080877,2.94619,NISQAv2
LIM0007_0118_A__20250512__Recuerdo_agradable__PzYP.wav,1.8958346,3.5363486,2.1618173,2.3169475,2.7595763,NISQAv2
